epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.061,1.0309,1.86069,0.99271,0.7617,0.65609,0.74451,0.46901,1.09409,1.40083,0.9977,0.000551987,0.000551987,0.000551987
2,213.266,1.02347,1.09422,0.99716,0.8659,0.78273,0.83213,0.5376,1.11017,0.82948,1.03378,0.00109669,0.00109669,0.00109669
3,298.117,1.05107,0.86765,1.00518,0.92024,0.7468,0.83338,0.57039,1.04623,0.72158,0.99971,0.00163039,0.00163039,0.00163039
4,380.871,1.02465,0.74976,1.00082,0.90556,0.84568,0.89722,0.59105,1.05458,0.6974,1.00306,0.00161749,0.00161749,0.00161749
5,467.08,0.9872,0.66104,0.98335,0.91114,0.81368,0.88643,0.59649,1.04174,0.66445,1.00584,0.00160099,0.00160099,0.00160099
6,551.103,0.98733,0.63587,0.98375,0.9418,0.79909,0.88898,0.5703,1.01999,0.66567,0.99012,0.00158448,0.00158448,0.00158448
7,632.929,0.96266,0.60343,0.97533,0.91149,0.82677,0.88835,0.61086,0.97116,0.58194,0.96337,0.00156798,0.00156798,0.00156798
8,715.576,0.94646,0.5753,0.97727,0.94305,0.81921,0.90099,0.59107,0.98005,0.56327,0.97375,0.00155148,0.00155148,0.00155148
9,797.97,0.97155,0.5742,0.97279,0.90045,0.82759,0.8851,0.56095,1.0758,0.61983,1.00436,0.00153497,0.00153497,0.00153497
10,883.128,0.92127,0.54856,0.96287,0.948,0.86503,0.91465,0.60608,0.98022,0.53671,0.96873,0.00151847,0.00151847,0.00151847
11,966.493,0.92739,0.53713,0.96252,0.87175,0.85998,0.90287,0.62379,0.94366,0.54647,0.95578,0.00150197,0.00150197,0.00150197
12,1050.6,0.91315,0.52698,0.9565,0.92958,0.85404,0.91713,0.63619,0.93691,0.55514,0.9544,0.00148546,0.00148546,0.00148546
13,1132.37,0.92714,0.53542,0.95702,0.96248,0.8546,0.93696,0.64854,0.93803,0.52905,0.95808,0.00146896,0.00146896,0.00146896
14,1215.69,0.90869,0.51268,0.95411,0.96005,0.85214,0.91232,0.61511,0.97463,0.50963,0.96113,0.00145246,0.00145246,0.00145246
15,1297,0.90614,0.51401,0.95356,0.94367,0.83521,0.91434,0.62718,0.97363,0.51387,0.95945,0.00143595,0.00143595,0.00143595
16,1378.69,0.90487,0.50802,0.95312,0.93132,0.88426,0.93378,0.64487,0.94925,0.51106,0.96131,0.00141945,0.00141945,0.00141945
17,1463.06,0.88462,0.49228,0.94428,0.92713,0.88217,0.91875,0.6283,0.95736,0.50324,0.96489,0.00140295,0.00140295,0.00140295
18,1547.43,0.89022,0.49763,0.94868,0.95849,0.87909,0.92745,0.63686,0.92385,0.48148,0.94477,0.00138644,0.00138644,0.00138644
19,1634.77,0.88292,0.48713,0.94714,0.93595,0.87527,0.92637,0.65105,0.91881,0.47416,0.94637,0.00136994,0.00136994,0.00136994
20,1719.59,0.88571,0.48847,0.94188,0.93415,0.87827,0.92487,0.60107,0.9869,0.49458,0.96101,0.00135344,0.00135344,0.00135344
21,1804.3,0.87275,0.4698,0.945,0.93747,0.87299,0.93472,0.65087,0.95439,0.48049,0.95702,0.00133693,0.00133693,0.00133693
22,1889.95,0.88126,0.47808,0.94304,0.93248,0.8904,0.94213,0.64859,0.92103,0.45704,0.93871,0.00132043,0.00132043,0.00132043
23,1971.21,0.87236,0.47033,0.94393,0.9421,0.82255,0.90166,0.64894,0.95385,0.47942,0.95945,0.00130393,0.00130393,0.00130393
24,2055.62,0.87967,0.46775,0.93853,0.95861,0.87608,0.94188,0.65963,0.93231,0.47153,0.9475,0.00128742,0.00128742,0.00128742
25,2142.04,0.87296,0.46758,0.93879,0.9333,0.88943,0.93662,0.66436,0.91226,0.47315,0.93821,0.00127092,0.00127092,0.00127092
26,2229.15,0.85535,0.46138,0.9364,0.96229,0.90739,0.94296,0.66155,0.92175,0.46057,0.95277,0.00125442,0.00125442,0.00125442
