epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.466,1.42286,1.24111,1.09808,0.65125,0.46318,0.53064,0.30832,1.58466,4.56608,1.24595,0.00165895,0.00165895,0.0684799
2,254.682,1.39482,0.8935,1.08387,0.78372,0.52952,0.69413,0.40307,1.434,2.4843,1.15881,0.00332237,0.00332237,0.03681
3,381.026,1.37004,0.85674,1.07952,0.74998,0.77641,0.79844,0.47785,1.3379,1.0844,1.08764,0.0049728,0.0049728,0.00512712
4,509.183,1.32017,0.79546,1.05859,0.9397,0.71716,0.84649,0.53755,1.28485,0.79419,1.06015,0.00495616,0.00495616,0.00495616
5,642.524,1.25384,0.75521,1.03191,0.89445,0.77879,0.84759,0.54314,1.25682,0.6886,1.0356,0.00492224,0.00492224,0.00492224
6,771.385,1.2222,0.72358,1.01336,0.89795,0.80185,0.85935,0.5146,1.28672,0.65518,1.05595,0.00487886,0.00487886,0.00487886
7,904.144,1.20836,0.71083,1.01212,0.74323,0.77979,0.7306,0.44991,1.36198,1.01707,1.05581,0.0048262,0.0048262,0.0048262
8,1033.07,1.19418,0.68755,1.01284,0.856,0.86118,0.85821,0.54483,1.22273,0.651,1.03414,0.00476445,0.00476445,0.00476445
9,1157.74,1.18972,0.69022,1.00584,0.92891,0.7693,0.85109,0.55599,1.24886,0.70604,1.07524,0.00469386,0.00469386,0.00469386
10,1288.06,1.18092,0.67324,1.00705,0.86705,0.83651,0.84778,0.539,1.24546,0.6473,1.03309,0.00461471,0.00461471,0.00461471
11,1412.74,1.14081,0.6589,0.98692,0.90482,0.86892,0.88673,0.58763,1.1756,0.57735,1.01082,0.00452732,0.00452732,0.00452732
12,1542.63,1.14642,0.64717,0.99473,0.90666,0.87309,0.88927,0.56077,1.20422,0.61072,1.02086,0.00443202,0.00443202,0.00443202
13,1668.47,1.1569,0.64411,0.99078,0.93291,0.86412,0.90388,0.61939,1.14947,0.60104,1.00665,0.0043292,0.0043292,0.0043292
14,1793.34,1.13371,0.63965,0.98576,0.85707,0.87022,0.86105,0.5509,1.21051,0.57736,1.01946,0.00421925,0.00421925,0.00421925
15,1915.53,1.13442,0.62251,0.9895,0.90321,0.89396,0.91117,0.62609,1.12039,0.54574,0.99411,0.00410262,0.00410262,0.00410262
16,2036.34,1.10794,0.6023,0.98081,0.94257,0.86381,0.93085,0.63899,1.15146,0.51506,0.9958,0.00397977,0.00397977,0.00397977
17,2163.92,1.10318,0.59749,0.9754,0.93227,0.87527,0.91655,0.64162,1.11165,0.53418,0.99851,0.00385117,0.00385117,0.00385117
