epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.336,1.16616,3.15802,1.10278,0.94046,0.29759,0.37559,0.26605,1.04227,1.13235,1.04712,8.31344e-05,8.31344e-05,8.31344e-05
2,286.898,1.06136,1.24188,1.09067,0.89017,0.652,0.71737,0.52172,0.97881,0.67878,1.04051,0.000163172,0.000163172,0.000163172
3,418.914,1.02274,0.95242,1.06757,0.83169,0.80553,0.84192,0.61513,0.96511,0.57707,1.02609,0.000239909,0.000239909,0.000239909
4,551.253,1.0078,0.85044,1.05662,0.86424,0.84711,0.88893,0.65122,0.97343,0.53015,1.01883,0.00023515,0.00023515,0.00023515
5,680.987,0.99465,0.79116,1.05315,0.90629,0.86845,0.92898,0.6792,0.96415,0.5,1.02173,0.0002302,0.0002302,0.0002302
6,812.498,0.98092,0.74535,1.047,0.92498,0.87117,0.93525,0.68256,0.96,0.48256,1.00857,0.00022525,0.00022525,0.00022525
7,942.208,0.97264,0.70963,1.04494,0.91694,0.91213,0.94451,0.68956,0.94681,0.46732,1.01262,0.0002203,0.0002203,0.0002203
8,1072.79,0.96718,0.67951,1.04101,0.93811,0.90486,0.94405,0.69285,0.94412,0.45742,1.0156,0.00021535,0.00021535,0.00021535
9,1201.71,0.9569,0.65327,1.0376,0.92969,0.92296,0.94467,0.70077,0.94164,0.44925,1.01547,0.0002104,0.0002104,0.0002104
10,1332.69,0.95586,0.63526,1.03882,0.95303,0.90292,0.92823,0.67877,0.94722,0.44362,1.02581,0.00020545,0.00020545,0.00020545
11,1462.39,0.94562,0.61372,1.03437,0.96951,0.91783,0.94851,0.69922,0.93851,0.43195,1.02154,0.0002005,0.0002005,0.0002005
12,1592.92,0.94806,0.60103,1.03733,0.96852,0.94036,0.95427,0.70394,0.93446,0.41615,1.02173,0.00019555,0.00019555,0.00019555
13,1722.61,0.93318,0.58659,1.03274,0.97662,0.93544,0.95857,0.70707,0.94364,0.41291,1.00592,0.0001906,0.0001906,0.0001906
14,1853.01,0.93059,0.5731,1.03264,0.97035,0.93137,0.95887,0.70852,0.95469,0.40701,1.01785,0.00018565,0.00018565,0.00018565
15,1982.91,0.92812,0.55884,1.03222,0.97674,0.93056,0.95867,0.70955,0.94559,0.41052,1.01932,0.0001807,0.0001807,0.0001807
16,2112.2,0.92385,0.55054,1.0265,0.97414,0.9319,0.95562,0.7048,0.9396,0.39732,1.00719,0.00017575,0.00017575,0.00017575
17,2240.67,0.9242,0.54516,1.03204,0.97502,0.94144,0.95532,0.69075,0.99165,0.41807,1.02452,0.0001708,0.0001708,0.0001708
18,2369.5,0.92094,0.53831,1.03073,0.97181,0.94081,0.95445,0.70753,0.93557,0.39228,1.01899,0.00016585,0.00016585,0.00016585
19,2497.72,0.91435,0.52619,1.0278,0.97541,0.94319,0.96123,0.70903,0.94381,0.39169,1.01425,0.0001609,0.0001609,0.0001609
20,2627.9,0.9138,0.52973,1.02927,0.95647,0.94531,0.96059,0.71477,0.92951,0.39196,1.02324,0.00015595,0.00015595,0.00015595
21,2757.2,0.91269,0.52106,1.02869,0.98335,0.93858,0.95817,0.7103,0.9382,0.38754,1.01973,0.000151,0.000151,0.000151
22,2889.92,0.90588,0.51282,1.02676,0.96869,0.94628,0.95619,0.7041,0.95067,0.38462,1.03522,0.00014605,0.00014605,0.00014605
23,3021.94,0.89604,0.50474,1.02345,0.97757,0.93575,0.95771,0.70361,0.94196,0.38264,1.01864,0.0001411,0.0001411,0.0001411
24,3153.03,0.89383,0.50122,1.0247,0.97351,0.93641,0.95814,0.70917,0.928,0.3758,1.01871,0.00013615,0.00013615,0.00013615
25,3283.24,0.8925,0.49268,1.02048,0.98448,0.94342,0.95764,0.71592,0.92766,0.37262,1.01909,0.0001312,0.0001312,0.0001312
26,3414.05,0.88963,0.48858,1.01826,0.97999,0.94557,0.95579,0.71397,0.92992,0.36834,1.02178,0.00012625,0.00012625,0.00012625
27,3542.52,0.88521,0.48671,1.01725,0.98204,0.94277,0.95954,0.70944,0.93338,0.36784,1.02262,0.0001213,0.0001213,0.0001213
28,3671.26,0.87922,0.47815,1.01654,0.9774,0.9239,0.95927,0.71418,0.93882,0.37175,1.02988,0.00011635,0.00011635,0.00011635
29,3804.45,0.88017,0.47646,1.01895,0.98476,0.94241,0.95746,0.70967,0.95027,0.37122,1.02688,0.0001114,0.0001114,0.0001114
30,3939.54,0.87505,0.4729,1.01304,0.98364,0.943,0.95834,0.71519,0.93361,0.36979,1.02513,0.00010645,0.00010645,0.00010645
31,4073.39,0.87227,0.47028,1.0124,0.98188,0.9483,0.95698,0.71191,0.93681,0.36231,1.02123,0.0001015,0.0001015,0.0001015
32,4203.85,0.86717,0.46437,1.0104,0.97697,0.94158,0.95907,0.71323,0.93581,0.36121,1.02475,9.655e-05,9.655e-05,9.655e-05
33,4332.55,0.86528,0.46484,1.01029,0.98213,0.94223,0.96021,0.7151,0.93917,0.36108,1.02629,9.16e-05,9.16e-05,9.16e-05
34,4463.47,0.85958,0.45918,1.0087,0.96396,0.95236,0.95873,0.71015,0.94149,0.36128,1.03604,8.665e-05,8.665e-05,8.665e-05
35,4595.18,0.85739,0.45539,1.01001,0.9798,0.94625,0.95935,0.70888,0.9373,0.3618,1.03952,8.17e-05,8.17e-05,8.17e-05
36,4724.87,0.85171,0.45153,1.00713,0.98345,0.93743,0.95712,0.70852,0.94153,0.35904,1.02651,7.675e-05,7.675e-05,7.675e-05
37,4857.81,0.85034,0.44836,1.0042,0.98359,0.93558,0.95799,0.71374,0.93616,0.35482,1.02569,7.18e-05,7.18e-05,7.18e-05
38,4985.25,0.84446,0.44399,1.00352,0.98406,0.94128,0.95913,0.71213,0.93679,0.35413,1.02753,6.685e-05,6.685e-05,6.685e-05
39,5112.67,0.84004,0.44065,1.00236,0.97643,0.94455,0.95798,0.71128,0.94012,0.35421,1.03216,6.19e-05,6.19e-05,6.19e-05
40,5241.83,0.84088,0.44213,1.00241,0.97631,0.94365,0.95851,0.71466,0.93484,0.35051,1.02489,5.695e-05,5.695e-05,5.695e-05
41,5364.42,0.79781,0.33571,0.98032,0.97797,0.94298,0.95897,0.71435,0.94227,0.35151,1.02951,5.2e-05,5.2e-05,5.2e-05
42,5487.98,0.7887,0.33058,0.97616,0.98249,0.9414,0.95865,0.71245,0.94632,0.35157,1.03827,4.705e-05,4.705e-05,4.705e-05
43,5607.28,0.78188,0.32679,0.97349,0.98038,0.94747,0.95798,0.71187,0.94334,0.34934,1.03781,4.21e-05,4.21e-05,4.21e-05
44,5726.09,0.77628,0.3238,0.97111,0.98617,0.9362,0.96006,0.71049,0.94772,0.34946,1.03714,3.715e-05,3.715e-05,3.715e-05
