epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.067,1.14232,1.7328,1.12253,0.86119,0.8532,0.88764,0.64142,1.01628,0.51455,1.02021,8.31344e-05,8.31344e-05,8.31344e-05
2,326.356,1.02595,0.70782,1.05955,0.90367,0.87789,0.92435,0.66032,1.00607,0.48586,1.04205,0.000163172,0.000163172,0.000163172
3,474.43,0.9999,0.62969,1.05851,0.94147,0.92361,0.94344,0.6889,0.95468,0.42598,1.0274,0.000239909,0.000239909,0.000239909
4,620.474,0.99148,0.59073,1.05962,0.96952,0.91803,0.94599,0.68011,1.01595,0.41802,1.03395,0.00023515,0.00023515,0.00023515
5,764.681,0.97945,0.56031,1.05908,0.94247,0.93171,0.94878,0.6979,0.95282,0.40693,1.03479,0.0002302,0.0002302,0.0002302
6,911.014,0.96692,0.53817,1.05484,0.97337,0.93243,0.9535,0.70566,0.94655,0.39639,1.03389,0.00022525,0.00022525,0.00022525
7,1055.96,0.96108,0.5226,1.05359,0.96521,0.92465,0.95036,0.68772,0.98299,0.39388,1.034,0.0002203,0.0002203,0.0002203
8,1200.46,0.95442,0.51183,1.05219,0.95774,0.93465,0.95139,0.70481,0.94639,0.38846,1.03872,0.00021535,0.00021535,0.00021535
9,1346.1,0.94371,0.49759,1.04819,0.97753,0.94383,0.95577,0.70651,0.94587,0.37603,1.0312,0.0002104,0.0002104,0.0002104
10,1497.28,0.9437,0.49311,1.05077,0.93893,0.94891,0.94917,0.69937,0.9444,0.38319,1.03261,0.00020545,0.00020545,0.00020545
11,1645.42,0.93261,0.48269,1.04521,0.97853,0.93985,0.95594,0.70628,0.94221,0.37705,1.03664,0.0002005,0.0002005,0.0002005
12,1795,0.93268,0.47751,1.04689,0.98715,0.94737,0.95866,0.71163,0.94691,0.36325,1.03126,0.00019555,0.00019555,0.00019555
13,1946.24,0.91704,0.47143,1.04156,0.97783,0.94392,0.9556,0.70968,0.93662,0.36078,1.03331,0.0001906,0.0001906,0.0001906
14,2096.18,0.91395,0.46581,1.04385,0.97688,0.95466,0.95478,0.70488,0.96214,0.35998,1.03483,0.00018565,0.00018565,0.00018565
15,2243.08,0.91136,0.45661,1.04239,0.97607,0.94357,0.96454,0.71449,0.93227,0.3611,1.03986,0.0001807,0.0001807,0.0001807
16,2393.03,0.90728,0.45539,1.03728,0.97891,0.94188,0.95406,0.7098,0.94163,0.35724,1.0316,0.00017575,0.00017575,0.00017575
17,2542.23,0.90727,0.45067,1.04195,0.97674,0.94454,0.96404,0.69958,1.00101,0.36831,1.05196,0.0001708,0.0001708,0.0001708
18,2692.25,0.90025,0.44715,1.03764,0.97698,0.94319,0.95062,0.70756,0.94261,0.3547,1.04352,0.00016585,0.00016585,0.00016585
19,2839.34,0.89439,0.44184,1.03555,0.97925,0.94814,0.95632,0.71203,0.93334,0.35242,1.03567,0.0001609,0.0001609,0.0001609
20,2987.41,0.88967,0.44339,1.03571,0.95663,0.95096,0.95467,0.70683,0.93433,0.34635,1.03434,0.00015595,0.00015595,0.00015595
21,3135.87,0.88896,0.43687,1.0337,0.9789,0.93976,0.9559,0.71127,0.93612,0.3474,1.02993,0.000151,0.000151,0.000151
22,3282.52,0.88011,0.43302,1.03095,0.9743,0.94338,0.95792,0.70766,0.94289,0.34298,1.03882,0.00014605,0.00014605,0.00014605
23,3432.77,0.87047,0.42787,1.0286,0.97125,0.95553,0.95669,0.70781,0.95674,0.34464,1.04034,0.0001411,0.0001411,0.0001411
24,3583.78,0.86674,0.4228,1.02612,0.9565,0.95121,0.95594,0.70744,0.94459,0.34831,1.04323,0.00013615,0.00013615,0.00013615
25,3733.57,0.86285,0.4177,1.02306,0.98508,0.95025,0.95623,0.7146,0.93153,0.34056,1.04356,0.0001312,0.0001312,0.0001312
26,3880.69,0.85604,0.41551,1.02113,0.98115,0.94963,0.9551,0.70715,0.9473,0.3394,1.04233,0.00012625,0.00012625,0.00012625
27,4027.9,0.84801,0.41042,1.01644,0.97547,0.94626,0.95442,0.70528,0.94286,0.34257,1.0519,0.0001213,0.0001213,0.0001213
28,4175.09,0.84156,0.40586,1.01578,0.98006,0.93844,0.95632,0.70465,0.94351,0.33944,1.04368,0.00011635,0.00011635,0.00011635
29,4321.54,0.83942,0.402,1.01878,0.98237,0.94881,0.95592,0.7093,0.94423,0.33736,1.05255,0.0001114,0.0001114,0.0001114
30,4467.44,0.83179,0.39894,1.01489,0.9845,0.94864,0.95621,0.70832,0.94422,0.33823,1.0539,0.00010645,0.00010645,0.00010645
31,4612.94,0.82912,0.39832,1.01135,0.9807,0.95112,0.95594,0.70252,0.9505,0.3365,1.05654,0.0001015,0.0001015,0.0001015
32,4760.02,0.81821,0.39043,1.00985,0.9781,0.9471,0.95541,0.70775,0.94583,0.33657,1.05333,9.655e-05,9.655e-05,9.655e-05
33,4903.95,0.81182,0.39115,1.00599,0.98099,0.94999,0.95664,0.70617,0.94681,0.3327,1.05511,9.16e-05,9.16e-05,9.16e-05
34,5049.88,0.80461,0.38559,1.0035,0.97623,0.94318,0.95456,0.70334,0.94931,0.33252,1.06312,8.665e-05,8.665e-05,8.665e-05
35,5195.73,0.80127,0.38359,1.00392,0.9798,0.94106,0.95524,0.70083,0.95255,0.33381,1.06539,8.17e-05,8.17e-05,8.17e-05
36,5341.59,0.79448,0.37906,1.00152,0.9706,0.94889,0.95456,0.69775,0.95894,0.33329,1.0636,7.675e-05,7.675e-05,7.675e-05
37,5486.65,0.78836,0.37471,0.99623,0.98143,0.93864,0.95969,0.70821,0.95722,0.33193,1.06557,7.18e-05,7.18e-05,7.18e-05
38,5631.54,0.77952,0.37114,0.99251,0.97616,0.94961,0.95536,0.70222,0.95645,0.33143,1.07185,6.685e-05,6.685e-05,6.685e-05
39,5778.05,0.77367,0.36661,0.99217,0.97128,0.95489,0.9561,0.70384,0.95638,0.32858,1.06766,6.19e-05,6.19e-05,6.19e-05
40,5928.8,0.76904,0.36895,0.99046,0.97028,0.9468,0.95362,0.69991,0.96115,0.33023,1.06678,5.695e-05,5.695e-05,5.695e-05
41,6074.13,0.7098,0.27331,0.96414,0.97474,0.94581,0.95477,0.69899,0.96325,0.33053,1.07805,5.2e-05,5.2e-05,5.2e-05
42,6214.66,0.69448,0.2683,0.95691,0.98158,0.93633,0.95477,0.69828,0.96549,0.33006,1.08735,4.705e-05,4.705e-05,4.705e-05
